City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lagoa,39.05,-27.98,73.56,89,0,15.17,PT,1598212775
narsaq,60.92,-46.05,57.2,58,0,9.17,GL,1598212775
mildura,-34.2,142.15,37.4,93,0,4.7,AU,1598212775
dudinka,69.41,86.18,57.2,82,100,13.42,RU,1598212594
lazaro cardenas,17.96,-102.2,85.66,72,32,6.78,MX,1598212492
chake chake,-5.25,39.77,75.79,76,0,12.73,TZ,1598212776
khandyga,62.67,135.6,39.36,70,96,1.43,RU,1598212776
teknaf,20.86,92.31,79.61,90,100,10.63,BD,1598212776
kapustin yar,48.58,45.74,62.11,51,1,5.03,RU,1598212561
benghazi,32.12,20.07,79.27,76,0,12.5,LY,1598212776
tiarei,-17.53,-149.33,80.6,65,20,3.36,PF,1598212776
clyde river,70.47,-68.59,43.54,83,100,5.53,CA,1598212611
takoradi,4.88,-1.76,74.61,87,48,8.68,GH,1598212776
college,64.86,-147.8,62.6,72,75,0.94,US,1598212578
bambous virieux,-20.34,57.76,71.6,73,40,17.22,MU,1598212599
mamakan,57.82,114.0,57.69,79,100,3.36,RU,1598212777
lar,26.2,83.97,83.66,73,0,2.15,IN,1598212777
asau,46.43,26.4,64.0,90,0,2.42,RO,1598212777
naze,28.37,129.48,78.8,94,99,4.7,JP,1598212649
maketu,-37.77,176.45,55.99,90,41,14.41,NZ,1598212777
huarmey,-10.07,-78.15,67.59,63,6,8.48,PE,1598212777
hamilton,39.18,-84.53,86.0,61,75,3.89,US,1598212777
viedma,-40.81,-63.0,66.99,28,100,8.01,AR,1598212777
groa,62.65,8.72,50.0,71,75,25.28,NO,1598212777
twentynine palms,34.14,-116.05,100.4,25,1,3.36,US,1598212777
tautira,-17.73,-149.15,80.6,65,20,3.36,PF,1598212777
vestmannaeyjar,63.44,-20.27,52.86,74,93,6.76,IS,1598212778
san onofre,9.74,-75.53,82.99,77,32,8.37,CO,1598212778
yarada,17.65,83.27,82.4,94,75,5.82,IN,1598212778
naron,43.52,-8.15,68.0,88,16,6.93,ES,1598212778
bose,45.46,8.01,75.99,70,0,5.01,IT,1598212778
katsuura,35.13,140.3,77.0,94,75,8.05,JP,1598212506
kavieng,-2.57,150.8,78.44,85,99,9.62,PG,1598212778
pontes e lacerda,-15.23,-59.34,95.23,21,0,4.03,BR,1598212778
castro,-24.79,-50.01,55.67,75,26,10.18,BR,1598212778
sorland,67.67,12.69,51.8,81,75,6.93,NO,1598212778
guerrero negro,27.98,-114.06,85.3,44,40,17.78,MX,1598212778
vysokogornyy,50.12,139.15,54.57,95,97,2.62,RU,1598212778
sembakung,3.82,117.25,73.2,98,30,2.53,ID,1598212779
impfondo,1.64,18.07,72.12,86,30,1.88,CG,1598212779
pecos,31.42,-103.49,98.6,20,1,11.41,US,1598212779
kitimat,54.05,-128.65,59.0,77,90,3.36,CA,1598212616
longyearbyen,78.22,15.64,46.4,61,3,8.05,SJ,1598212624
qasigiannguit,68.82,-51.19,46.4,52,0,3.36,GL,1598212779
ust-shonosha,61.15,41.34,60.85,80,100,7.52,RU,1598212779
san patricio,19.22,-104.7,91.4,66,40,11.41,MX,1598212779
kikwit,-5.04,18.82,79.0,68,100,2.62,CD,1598212779
ca mau,9.18,105.15,78.66,87,57,3.33,VN,1598212779
dingle,11.0,122.67,76.32,88,100,0.65,PH,1598212577
port keats,-14.25,129.55,65.5,44,0,7.07,AU,1598212779
arcata,40.87,-124.08,69.01,82,90,8.05,US,1598212582
zambrow,52.99,22.24,69.01,80,94,5.44,PL,1598212779
nuuk,64.18,-51.72,41.0,93,86,4.7,GL,1598212779
ellenabad,29.45,74.65,86.65,66,0,11.68,IN,1598212779
sao joao da barra,-21.64,-41.05,71.6,60,40,16.11,BR,1598212705
provideniya,64.38,-173.3,50.0,81,90,2.24,RU,1598212591
okhotsk,59.38,143.3,45.73,77,0,2.24,RU,1598212780
cidreira,-30.18,-50.21,61.11,77,0,16.26,BR,1598212780
samarai,-10.62,150.67,75.29,76,100,14.32,PG,1598212780
yichun,47.7,128.9,56.07,87,100,3.0,CN,1598212780
mariental,-24.63,17.97,65.37,23,0,9.31,NA,1598212780
chilca,-12.52,-76.74,66.2,68,75,9.17,PE,1598212780
mayo,38.89,-76.51,91.0,79,1,12.75,US,1598212780
bentiu,9.23,29.83,72.86,94,100,3.83,SS,1598212780
yumen,40.28,97.2,65.66,27,0,6.38,CN,1598212780
ust-kuyga,70.02,135.6,32.04,96,20,6.2,RU,1598212780
nador,35.17,-2.93,78.8,83,0,4.7,MA,1598212780
lavrentiya,65.58,-171.0,46.99,93,100,4.63,RU,1598212780
aykhal,66.0,111.5,44.6,70,30,8.95,RU,1598212600
montgomery,39.15,-77.2,91.99,58,75,9.17,US,1598212674
hidalgo,20.5,-99.0,75.27,42,0,11.81,MX,1598212781
lisakovsk,52.54,62.49,53.96,85,0,6.51,KZ,1598212781
leh,34.17,77.58,64.33,24,0,4.9,IN,1598212781
nara,34.69,135.8,82.0,51,0,1.9,JP,1598212691
belmonte,-15.86,-38.88,69.8,83,75,5.82,BR,1598212781
jerez,14.1,-89.75,77.0,94,20,4.7,GT,1598212781
san jeronimo,-11.95,-75.28,63.81,36,47,9.71,PE,1598212781
bauchi,10.5,10.0,69.46,91,100,3.38,NG,1598212781
oranjemund,-28.55,16.43,54.61,87,2,8.01,NA,1598212781
san fernando,15.03,120.69,82.4,94,40,4.7,PH,1598212782
seoul,37.57,126.98,77.0,83,90,1.54,KR,1598212577
kokoda,-8.88,147.74,70.5,63,95,1.68,PG,1598212782
nicoya,10.15,-85.45,80.6,83,75,10.29,CR,1598212597
sakaiminato,35.55,133.23,75.2,94,20,4.7,JP,1598212782
axim,4.87,-2.24,74.41,88,13,8.68,GH,1598212650
anadyr,64.75,177.48,51.8,93,40,2.24,RU,1598212782
belyy yar,53.6,91.39,59.0,72,77,8.95,RU,1598212782
puerto escondido,15.85,-97.07,84.2,66,90,10.29,MX,1598212782
guanica,17.97,-66.91,90.0,67,100,4.0,PR,1598212782
port blair,11.67,92.75,81.25,83,99,8.88,IN,1598212783
rakvice,48.86,16.81,71.6,53,83,9.17,CZ,1598212783
griffith,41.53,-87.42,88.0,48,1,11.41,US,1598212579
komsomolskiy,40.43,71.72,77.0,36,0,6.93,UZ,1598212783
jacareacanga,-6.22,-57.75,100.87,18,0,1.86,BR,1598212783
saint george,37.1,-113.58,102.0,23,1,5.82,US,1598212783
dangriga,16.97,-88.23,91.99,66,40,5.82,BZ,1598212783
los altos,37.39,-122.11,90.0,39,75,5.82,US,1598212783
slave lake,55.28,-114.77,66.2,48,40,21.92,CA,1598212783
bure,10.7,37.07,55.53,94,4,2.33,ET,1598212783
touros,-5.2,-35.46,80.6,61,20,14.99,BR,1598212647
urumqi,43.8,87.6,73.4,38,10,4.47,CN,1598212709
panjab,34.39,67.02,55.26,35,0,3.31,AF,1598212784
constanza,47.66,9.18,66.99,59,38,2.24,DE,1598212707
jieshi,22.81,115.83,81.91,80,97,5.77,CN,1598212784
george,-33.96,22.46,57.2,87,100,4.7,ZA,1598212784
portland,45.52,-122.68,75.99,60,0,1.01,US,1598212680
acarau,-2.89,-40.12,80.37,68,0,21.09,BR,1598212784
sao mateus do sul,-25.87,-50.38,56.28,74,94,3.76,BR,1598212528
acoua,-12.72,45.06,71.6,88,70,5.82,YT,1598212784
aksu,41.12,80.26,77.76,29,0,5.03,CN,1598212784
port macquarie,-31.43,152.92,45.0,64,0,10.45,AU,1598212580
san quintin,30.48,-115.95,80.26,57,0,10.49,MX,1598212784
nishihara,26.18,127.76,82.4,83,90,25.28,JP,1598212571
maldonado,-34.67,-54.92,68.0,40,0,4.7,UY,1598212526
challans,46.84,-1.87,64.4,77,100,6.93,FR,1598212785
tilichiki,60.47,166.1,47.41,82,84,5.41,RU,1598212785
lasa,46.62,10.7,62.01,67,20,3.36,IT,1598212785
barcelos,41.54,-8.62,73.0,82,7,6.93,PT,1598212692
hami,42.8,93.45,78.85,22,47,3.58,CN,1598212785
avera,33.19,-82.53,82.99,50,90,3.36,US,1598212641
marawi,8.0,124.29,75.0,92,80,4.0,PH,1598212785
waipawa,-41.41,175.52,55.4,82,100,12.75,NZ,1598212681
daur,26.46,68.32,91.4,66,100,8.46,PK,1598212785
bathsheba,13.22,-59.52,87.8,66,20,11.41,BB,1598212785
walvis bay,-22.96,14.51,59.0,72,0,5.82,NA,1598212785
bengkulu,-3.8,102.27,76.21,87,100,5.28,ID,1598212785
srednekolymsk,67.45,153.68,36.18,84,100,9.1,RU,1598212785
nisia floresta,-6.09,-35.21,80.6,61,82,18.34,BR,1598212786
segou,13.43,-6.22,81.48,63,50,5.99,ML,1598212786
priladozhskiy,59.85,31.48,61.0,98,100,6.98,RU,1598212786
makakilo city,21.35,-158.09,84.2,62,40,6.93,US,1598212786
taltal,-25.4,-70.48,57.07,65,25,1.5,CL,1598212786
vardo,70.37,31.11,55.4,93,95,14.99,NO,1598212786
fez,34.04,-5.0,89.6,31,0,6.93,MA,1598212633
oranjestad,12.52,-70.03,91.4,52,20,17.22,AW,1598212634
kamra,33.75,73.51,84.0,94,20,9.17,PK,1598212786
namibe,-15.2,12.15,66.88,86,86,1.45,AO,1598212786
massakory,13.0,15.73,78.48,76,89,5.5,TD,1598212786
marquette,46.53,-87.63,75.0,77,28,3.0,US,1598212786
chicama,-7.84,-79.15,72.93,49,2,10.18,PE,1598212786
mar del plata,-38.0,-57.56,64.4,39,0,14.99,AR,1598212786
maarianhamina,60.1,19.93,64.4,77,87,6.93,AX,1598212786
assemini,39.29,9.0,77.0,50,0,14.99,IT,1598212787
vestmanna,62.16,-7.17,46.4,81,58,8.05,FO,1598212787
panzos,15.4,-89.67,93.74,44,100,2.08,GT,1598212787
ghanzi,-21.57,21.78,58.44,48,0,4.47,BW,1598212787
jiuquan,39.74,98.52,68.23,25,0,4.41,CN,1598212787
vila,42.03,-8.16,72.0,78,0,5.82,PT,1598212787
ajdabiya,30.76,20.23,76.98,74,0,12.71,LY,1598212787
half moon bay,37.46,-122.43,80.01,60,75,13.87,US,1598212597
nsanje,-16.92,35.26,68.31,71,8,3.71,MW,1598212787
sainte-maxime,43.3,6.63,82.0,36,12,3.36,FR,1598212787
mareeba,-17.0,145.43,59.0,77,0,4.7,AU,1598212787
ascension,30.22,-90.9,91.4,55,40,6.93,US,1598212787
jumla,29.27,82.18,61.29,70,93,1.12,NP,1598212787
rodnykove,45.04,33.95,64.15,43,0,6.31,UA,1598212787
napa,38.48,-122.33,89.01,73,2,4.0,US,1598212612
odweyne,9.41,45.06,74.7,54,98,16.78,SO,1598212788
high rock,26.62,-78.28,89.6,75,40,16.11,BS,1598212788
varzob,38.77,68.82,75.2,29,0,4.47,TJ,1598212788
darhan,49.49,105.92,54.16,86,53,1.66,MN,1598212788
tutoia,-2.76,-42.27,81.37,74,6,14.16,BR,1598212788
saryozek,44.36,77.98,68.92,30,55,2.15,KZ,1598212788
birjand,32.87,59.22,82.4,28,20,11.41,IR,1598212788
straumen,63.87,11.3,52.0,81,75,18.34,NO,1598212788
cabo san lucas,22.89,-109.91,93.2,55,20,9.17,MX,1598212788
faanui,-16.48,-151.75,76.26,78,24,19.19,PF,1598212788
antonina,-25.43,-48.71,57.2,62,75,12.75,BR,1598212788
tres arroyos,-38.37,-60.28,61.0,51,1,15.55,AR,1598212788
hvide sande,56.0,8.13,60.01,75,79,1.99,DK,1598212788
kalmunai,7.42,81.82,79.57,77,5,10.65,LK,1598212788
urucara,-2.54,-57.76,97.59,25,64,2.53,BR,1598212788
rognan,67.1,15.39,51.01,94,90,2.57,NO,1598212789
sao felix do xingu,-6.64,-51.99,97.81,21,33,4.21,BR,1598212789
saint-joseph,-21.37,55.62,66.2,77,17,6.93,RE,1598212789
zhigansk,66.77,123.37,39.22,91,8,15.43,RU,1598212789
narasapur,16.45,81.67,79.18,92,100,2.8,IN,1598212789
lompoc,34.64,-120.46,72.0,78,1,6.93,US,1598212662
omboue,-1.57,9.26,74.01,77,100,9.6,GA,1598212789
haines junction,60.75,-137.51,59.14,61,98,3.4,CA,1598212789
ilukste,55.98,26.3,60.44,89,100,5.73,LV,1598212789
sanghar,26.05,68.95,91.4,66,100,20.65,PK,1598212789
launceston,-41.45,147.17,35.01,86,0,3.36,AU,1598212789
tias,28.96,-13.64,75.2,78,20,27.51,ES,1598212789
ponta do sol,32.67,-17.1,77.0,61,20,19.46,PT,1598212789
do gonbadan,30.36,50.8,87.8,27,0,2.75,IR,1598212789
pemba,-12.97,40.52,75.2,83,40,16.11,MZ,1598212789
nemuro,43.32,145.57,63.39,95,7,5.5,JP,1598212789
okato,-39.2,173.88,52.0,87,94,10.0,NZ,1598212789
havre-saint-pierre,50.23,-63.6,60.8,63,75,13.87,CA,1598212790
puerto carreno,6.19,-67.49,86.0,66,40,6.93,CO,1598212700
mpanda,-6.37,31.04,67.46,47,8,1.52,TZ,1598212790
asuncion,-25.3,-57.64,78.8,27,19,11.41,PY,1598212590
yima,34.74,111.88,73.0,1,100,13.51,CN,1598212790
maniitsoq,65.42,-52.9,45.61,87,40,5.39,GL,1598212790
praia da vitoria,38.73,-27.07,78.8,78,20,3.44,PT,1598212790
tromso,69.65,18.96,57.2,87,75,4.7,NO,1598212790
mashhad,36.3,59.61,78.8,47,0,13.87,IR,1598212790
gao,16.64,1.64,95.52,32,59,3.49,ML,1598212790
teya,60.38,92.63,49.86,88,77,2.26,RU,1598212599
tshikapa,-6.42,20.8,78.15,70,100,2.48,CD,1598212790
